SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,ITEM_Description,ITEM_Status
LS-04,EL,01-JB1-1-L1-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L1-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L1-03,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-04,EL,01-JB1-1-L1-04,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-05,EL,01-JB1-1-L1-05,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L1-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L1-07,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-05,EL,01-JB1-1-L1-08,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-04,EL,01-JB1-1-L2-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L2-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-04,EL,01-JB1-1-L2-03,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L2-04,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-05,EL,01-JB1-1-L2-05,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L2-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L2-07,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L2-08,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-04,EL,01-JB1-1-L3-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L3-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L3-03,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-JB1-1-L3-04,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-05,EL,01-JB1-1-L3-05,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L3-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L3-07,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-05,EL,01-JB1-1-L3-08,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-03,EL,01-JB2-2,Lighting Main JB,Normal Lighting Junction Box,DONE
LS-03,EL,01-JB2-2-FJB,Lighting Cable,Normal Lighting Junction Box,DONE
LS-03,EL,01-JB2-2-L1-01,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L1-02,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L1-03,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L1-04,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L1-05,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-JB2-2-L1-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
NO SUBS.,EL,01-JB2-2-L1-07,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-03,EL,01-JB2-2-L2-01,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L2-02,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L2-03,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L2-04,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L2-05,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-JB2-2-L2-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
NO SUBS.,EL,01-JB2-2-L2-07,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-03,EL,01-JB2-2-L3-01,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L3-02,Lighting Fixture,Bulkhead Lighting Fixture 30w| WP,DONE
LS-03,EL,01-JB2-2-L3-03,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L3-04,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-JB2-2-L3-05,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-JB2-2-L3-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
TEL-01,EL,01-PJB1,Paging Device,Paging Junction Box,0%
LS-03,EL,01-SJB1-1,Lighting Main JB,Safety Lighting Junction Box,DONE
LS-03,EL,01-SJB1-1-01,Lighting Fixture,Bulkhead Lighting Fixture 30w| WP,DONE
LS-03,EL,01-SJB1-1-02,Lighting Fixture,Bulkhead Lighting Fixture 30w| WP,DONE
LS-03,EL,01-SJB1-1-03,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-SJB1-1-04,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-SJB1-1-05,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-04,EL,01-SJB1-1-06,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-SJB1-1-07,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-SJB1-1-08,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-04,EL,01-SJB1-1-09,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-05,EL,01-SJB1-1-10,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-05,EL,01-SJB1-1-11,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-04,EL,01-SJB1-1-CR,Lighting Cable,Safety Junction Box,0%
LS-03,EL,01-SJB1-1-FJB,Lighting Cable,Safety Lighting Junction Box,DONE
LS-05,EL,01-SJB1-1-LAB,Lighting Cable,Safety Junction Box,0%
TEL-01,EL,01-SP-01,Paging Device,Loud Speaker- 25W,0%
TEL-01,EL,01-SP-02,Paging Device,Loud Speaker- 25W,0%
TEL-01,EL,01-SP-03,Paging Device,Loud Speaker- 25W,0%
TEL-01,EL,01-SP-04,Paging Device,Loud Speaker- 25W,50%
TEL-01,EL,01-SP-05,Paging Device,Loud Speaker- 25W,50%
TEL-01,EL,01-SP-06,Paging Device,Loud Speaker- 25W,0%
LS-07,EL,02-AWLP1-1-L1-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP1-1-L1-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP1-2-L1-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP1-2-L1-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP1-3-L1-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP1-3-L1-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-1-L2-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-1-L2-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-2-L2-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-2-L2-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-3-L2-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP2-3-L2-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-1,Lighting Cable,Aircraft Warning Lighting Panel,0%
LS-07,EL,02-AWLP3-1-L3-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-1-L3-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-1-MJB,Lighting Cable,Aircraft Warning Lighting Main JB,0%
LS-07,EL,02-AWLP3-2-L3-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-2-L3-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-3-L3-01,Lighting Fixture,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-AWLP3-3-L3-01-FJB01,Lighting Cable,Aircraft Warning Lighting Fixture,0%
LS-07,EL,02-EJB1_1-1,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB1_1-1-L1-01,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L1-01-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L1-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_1-1-L1-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L2-01,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L2-01-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L2-02,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L2-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L3-01,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_1-1-L3-01-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB1_2-1-L1-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-03,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-03-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-04,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-04-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-05,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L1-05-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-03,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-03-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-04,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-04-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-05,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L2-05-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-03,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-03-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-04,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-04-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-05,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-05-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-06,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-06-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-07,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1_2-1-L3-07-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB1-1-L1-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L1-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L1-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L1-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L1-03,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L1-03-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L1-04,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L1-04-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L1-05,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L1-05-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L2-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-03,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-03-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L2-04,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L2-04-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L2-05,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L2-05-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L3-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L3-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L3-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L3-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB1-1-L3-03,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L3-03-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L3-04,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB1-1-L3-04-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_1-2,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB2_1-2-L1-01,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-06,EL,02-EJB2_1-2-L1-01-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_1-2-L1-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_1-2-L1-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_1-2-L2-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_1-2-L2-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_1-2-L2-02,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_1-2-L2-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_1-2-L3-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_1-2-L3-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB2_2-2-L1-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L1-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L1-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L1-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L1-03,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L1-03-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-02-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-03,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-03-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-04,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L2-04-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-02,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-03,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2_2-2-L3-03-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-07,EL,02-EJB2-2-L1-01,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L1-01-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L1-02,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L1-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L1-03,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2-2-L1-03-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2-2-L2-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2-2-L2-01-FJB01,Lighting Cable,LED Luminaires Fixture 40w| EX,0%
LS-07,EL,02-EJB2-2-L2-02,Lighting Fixture,LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L2-02-FJB01,Lighting Cable, LED Luminaires Fixture 20w| EX,0%
LS-07,EL,02-EJB2-2-L3-01,Lighting Fixture,LED Luminaires Fixture 40w| EX,0%
