SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
LS-01,EL,00-RP-02,PANEL(EL),A,سربندي تجهيز انجام شود,PL-05604
LS-01,EL,00-RP-03,PANEL(EL),A,ارت تجهيز نصب شود,PL-05613
LS-01,EL,00-RP-03,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05614
LS-01,EL,00-RP-03,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05615
LS-01,EL,00-RP-03,PANEL(EL),A,سربندي تجهيز انجام شود,PL-05616
LS-01,EL,00-RP-04,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05631
LS-01,EL,00-RP-04,PANEL(EL),C,گروت ريزي ساپورت تجهيز انجام شود,PL-05633
LS-04,EL,01-EJB1-1-L1-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26874
LS-04,EL,01-EJB1-1-L1-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26893
LS-04,EL,01-EJB1-1-L1-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26912
LS-04,EL,01-EJB1-1-L2-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26913
LS-04,EL,01-EJB1-1-L2-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26894
LS-04,EL,01-EJB1-1-L2-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26875
LS-04,EL,01-EJB1-1-L3-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26876
LS-04,EL,01-EJB1-1-L3-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26895
LS-04,EL,01-EJB1-1-L3-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26914
LS-04,EL,01-JB1-1-L1-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26915
LS-04,EL,01-JB1-1-L1-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26896
LS-04,EL,01-JB1-1-L1-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26877
LS-04,EL,01-JB1-1-L1-02,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26878
LS-04,EL,01-JB1-1-L1-02,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26897
LS-04,EL,01-JB1-1-L1-02,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26916
LS-04,EL,01-JB1-1-L1-03,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26917
LS-04,EL,01-JB1-1-L1-03,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26898
LS-04,EL,01-JB1-1-L1-03,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26879
LS-04,EL,01-JB1-1-L1-04,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26880
LS-04,EL,01-JB1-1-L1-04,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26899
LS-04,EL,01-JB1-1-L1-04,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26918
LS-04,EL,01-JB1-1-L2-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26919
LS-04,EL,01-JB1-1-L2-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26900
LS-04,EL,01-JB1-1-L2-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26881
LS-04,EL,01-JB1-1-L2-02,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26882
LS-04,EL,01-JB1-1-L2-02,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26901
LS-04,EL,01-JB1-1-L2-02,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26920
LS-04,EL,01-JB1-1-L2-03,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26921
LS-04,EL,01-JB1-1-L2-03,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26902
LS-04,EL,01-JB1-1-L2-03,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26883
LS-04,EL,01-JB1-1-L2-04,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26884
LS-04,EL,01-JB1-1-L2-04,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26903
LS-04,EL,01-JB1-1-L2-04,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26922
LS-04,EL,01-JB1-1-L3-01,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26923
LS-04,EL,01-JB1-1-L3-01,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26904
LS-04,EL,01-JB1-1-L3-01,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26885
LS-04,EL,01-JB1-1-L3-02,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26886
LS-04,EL,01-JB1-1-L3-02,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26905
LS-04,EL,01-JB1-1-L3-02,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26924
LS-04,EL,01-JB1-1-L3-03,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26925
LS-04,EL,01-JB1-1-L3-03,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26906
LS-04,EL,01-JB1-1-L3-03,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26887
LS-04,EL,01-JB1-1-L3-04,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26888
LS-04,EL,01-JB1-1-L3-04,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26907
LS-04,EL,01-JB1-1-L3-04,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26926
LS-04,EL,01-SJB1-1-06,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26927
LS-04,EL,01-SJB1-1-06,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26908
LS-04,EL,01-SJB1-1-06,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26889
LS-04,EL,01-SJB1-1-07,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26890
LS-04,EL,01-SJB1-1-07,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26909
LS-04,EL,01-SJB1-1-07,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26928
LS-04,EL,01-SJB1-1-08,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26929
LS-04,EL,01-SJB1-1-08,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26910
LS-04,EL,01-SJB1-1-08,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26891
LS-04,EL,01-SJB1-1-09,Lighting Fixture,B,TOUCH UP SUPPORT SHALL BE DONE.,PL-26892
LS-04,EL,01-SJB1-1-09,Lighting Fixture,C,CLEANING LIGHTING SHALL BE DONE.,PL-26911
LS-04,EL,01-SJB1-1-09,Lighting Fixture,B,TAG NO(S.S) BEFORE LIGHTING SHALL BE INSTALL.,PL-26930
TEL-01,EL,01-SP-04,Paging Device,C,Preservation shall be done.,PL-24237
TEL-01,EL,01-SP-04,Paging Device,B,TAG Device shall be installed.,PL-24238
TEL-01,EL,01-SP-05,Paging Device,C,Preservation shall be done.,PL-24239
TEL-01,EL,01-SP-05,Paging Device,B,TAG Device shall be installed.,PL-24240
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09358
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09439
LS-08,EL,03-EJB1_2-1-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09188
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09446
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09365
LS-08,EL,03-EJB1_2-1-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09173
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09362
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09443
LS-08,EL,03-EJB1_2-1-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09172
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09441
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09360
LS-08,EL,03-EJB1_2-1-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09171
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09367
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.,PL-09448
LS-08,EL,03-EJB2_1-2-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09178
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09455
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09374
LS-08,EL,03-EJB2_1-2-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09181
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09376
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Touch up  shall be done.,PL-09457
LS-08,EL,03-EJB2_1-2-L1-05-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09189
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Touch up  shall be done.,PL-09464
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09383
LS-08,EL,03-EJB2_1-2-L1-06-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09193
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09369
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.,PL-09450
LS-08,EL,03-EJB2_1-2-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09179
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Touch up  shall be done.,PL-09459
LS-08,EL,03-EJB2_1-2-L2-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09378
LS-08,EL,03-EJB2_1-2-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09191
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09372
LS-08,EL,03-EJB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.,PL-09453
LS-08,EL,03-EJB2_1-2-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09180
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Touch up  shall be done.,PL-09462
LS-08,EL,03-EJB2_1-2-L3-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09381
LS-08,EL,03-EJB2_1-2-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09192
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09359
LS-08,EL,03-JB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09440
LS-08,EL,03-JB1_2-1-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09187
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09445
LS-08,EL,03-JB1_2-1-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09364
LS-08,EL,03-JB1_2-1-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09176
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09361
LS-08,EL,03-JB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09442
LS-08,EL,03-JB1_2-1-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09174
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09444
LS-08,EL,03-JB1_2-1-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09363
LS-08,EL,03-JB1_2-1-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09175
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09366
LS-08,EL,03-JB1_2-1-L3-03,Lighting Fixture,B,Touch up  shall be done.,PL-09447
LS-08,EL,03-JB1_2-1-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09177
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09371
LS-08,EL,03-JB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.,PL-09452
LS-08,EL,03-JB2_1-2-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09184
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.,PL-09460
LS-08,EL,03-JB2_1-2-L1-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09379
LS-08,EL,03-JB2_1-2-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09194
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09384
LS-08,EL,03-JB2_1-2-L1-03,Lighting Fixture,B,Touch up  shall be done.,PL-09465
LS-08,EL,03-JB2_1-2-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09197
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Touch up  shall be done.,PL-09449
LS-08,EL,03-JB2_1-2-L2-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09368
LS-08,EL,03-JB2_1-2-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09182
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09373
LS-08,EL,03-JB2_1-2-L2-02,Lighting Fixture,B,Touch up  shall be done.,PL-09454
LS-08,EL,03-JB2_1-2-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09185
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Touch up  shall be done.,PL-09463
LS-08,EL,03-JB2_1-2-L2-04,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09382
LS-08,EL,03-JB2_1-2-L2-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09196
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09370
LS-08,EL,03-JB2_1-2-L3-01,Lighting Fixture,B,Touch up  shall be done.,PL-09451
LS-08,EL,03-JB2_1-2-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09183
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Touch up  shall be done.,PL-09456
LS-08,EL,03-JB2_1-2-L3-02,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09375
LS-08,EL,03-JB2_1-2-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09186
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09377
LS-08,EL,03-JB2_1-2-L3-04,Lighting Fixture,B,Touch up  shall be done.,PL-09458
LS-08,EL,03-JB2_1-2-L3-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09190
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Touch up  shall be done.,PL-09461
LS-08,EL,03-JB2_1-2-L3-05,Lighting Fixture,B,Tag No S.S shall be installed.,PL-09380
LS-08,EL,03-JB2_1-2-L3-05-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09195
LS-14,EL,03-JB2-2-L2-12-FJB01,Lighting Cable,B,Cable Tag(S.S) Shall Be Installed.,PL-21849
LS-14,EL,03-JB2-2-L3-11-FJB01,Lighting Cable,B,Cable Tag(S.S) Shall Be Installed.,PL-21850
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,B,S.S CABLE TAGS SHOULD BE INSTALL.,PL-09146
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-09147
LS-08,EL,03-RJB1_2-1-L2-02-FJB01,Lighting Cable,C,Cleaning TRAY shall be done,PL-09148
LS-09,EL,04-EJB1_1-3-L1-01,Lighting Fixture,B,Touch up shall be done.,PL-09620
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11581
LS-09,EL,04-EJB1_1-3-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11589
LS-09,EL,04-EJB1_1-3-L1-02,Lighting Fixture,B,Touch up shall be done.,PL-09625
LS-09,EL,04-EJB1_1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09163
LS-09,EL,04-EJB1_1-3-L2-01,Lighting Fixture,B,Touch up shall be done.,PL-09623
LS-09,EL,04-EJB1_1-3-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09165
LS-09,EL,04-EJB1_1-3-L2-02,Lighting Fixture,B,Touch up shall be done.,PL-09613
LS-09,EL,04-EJB1_1-3-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09153
LS-09,EL,04-EJB1_1-3-L3-01,Lighting Fixture,B,Touch up shall be done.,PL-09617
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11578
LS-09,EL,04-EJB1_1-3-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11586
LS-09,EL,04-EJB1_1-3-L3-02,Lighting Fixture,B,Touch up shall be done.,PL-09610
LS-09,EL,04-EJB1_1-3-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09154
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11566
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11561
LS-09,EL,04-EJB1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11556
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11557
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11562
LS-09,EL,04-EJB1-3-L2-03-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11567
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,B,Touch up support shall be done.,PL-09645
LS-09,EL,04-EJB1-3-L2-04,Lighting Fixture,B,tag no S.S shall be installed.,PL-09651
LS-09,EL,04-EJB1-3-L2-04-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12634
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12633
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,A,Cable Location shall be done,PL-11568
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11563
LS-09,EL,04-EJB1-3-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11558
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,B,Touch up support shall be done.,PL-09648
LS-09,EL,04-EJB1-3-L3-04,Lighting Fixture,B,tag no S.S shall be installed.,PL-09654
LS-09,EL,04-EJB1-3-L3-04-FJB01,Lighting Cable,B,tag no S.S shall be installed.,PL-12630
LS-09,EL,04-EJB2-4-L1-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12669
LS-09,EL,04-EJB2-4-L1-01-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23574
LS-09,EL,04-EJB2-4-L1-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12663
LS-09,EL,04-EJB2-4-L1-02-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23575
LS-09,EL,04-EJB2-4-L2-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12654
LS-09,EL,04-EJB2-4-L2-01-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23576
LS-09,EL,04-EJB2-4-L2-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12660
LS-09,EL,04-EJB2-4-L2-02-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23577
LS-09,EL,04-EJB2-4-L3-01,Lighting Fixture,B,tag no S.S shall be installed.,PL-12656
LS-09,EL,04-EJB2-4-L3-01-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23578
LS-09,EL,04-EJB2-4-L3-02,Lighting Fixture,B,tag no S.S shall be installed.,PL-12666
LS-09,EL,04-EJB2-4-L3-02-FJB01,Lighting Cable,B,S.S Tag Should Be Done.,PL-23579
LS-09,EL,04-JB1_1-3-L1-01,Lighting Fixture,B,Touch up shall be done.,PL-09616
LS-09,EL,04-JB1_1-3-L1-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11574
LS-09,EL,04-JB1_1-3-L1-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11582
LS-09,EL,04-JB1_1-3-L1-02,Lighting Fixture,B,Touch up shall be done.,PL-09622
LS-09,EL,04-JB1_1-3-L1-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11580
LS-09,EL,04-JB1_1-3-L1-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11588
LS-09,EL,04-JB1_1-3-L1-03,Lighting Fixture,B,Touch up shall be done.,PL-09626
LS-09,EL,04-JB1_1-3-L1-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09164
LS-09,EL,04-JB1_1-3-L1-04,Lighting Fixture,B,Touch up shall be done.,PL-09612
LS-09,EL,04-JB1_1-3-L1-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09150
LS-09,EL,04-JB1_1-3-L2-01,Lighting Fixture,B,Touch up shall be done.,PL-09618
LS-09,EL,04-JB1_1-3-L2-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11575
LS-09,EL,04-JB1_1-3-L2-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11583
LS-09,EL,04-JB1_1-3-L2-02,Lighting Fixture,B,Touch up shall be done.,PL-09621
LS-09,EL,04-JB1_1-3-L2-02-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11577
LS-09,EL,04-JB1_1-3-L2-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11585
LS-09,EL,04-JB1_1-3-L2-03,Lighting Fixture,B,Touch up shall be done.,PL-09609
LS-09,EL,04-JB1_1-3-L2-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09155
LS-09,EL,04-JB1_1-3-L2-04,Lighting Fixture,B,Touch up shall be done.,PL-09614
LS-09,EL,04-JB1_1-3-L2-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09151
LS-09,EL,04-JB1_1-3-L3-01,Lighting Fixture,B,Touch up shall be done.,PL-09619
LS-09,EL,04-JB1_1-3-L3-01-FJB01,Lighting Cable,B,Cable Arrangement shall be done.,PL-11576
LS-09,EL,04-JB1_1-3-L3-01-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-11584
LS-09,EL,04-JB1_1-3-L3-02,Lighting Fixture,B,Touch up shall be done.,PL-09624
LS-11,EL,04-JB1_1-3-L3-02-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09166
LS-09,EL,04-JB1_1-3-L3-03,Lighting Fixture,B,Touch up shall be done.,PL-09611
LS-09,EL,04-JB1_1-3-L3-03-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09149
LS-09,EL,04-JB1_1-3-L3-04,Lighting Fixture,B,Touch up shall be done.,PL-09615
LS-09,EL,04-JB1_1-3-L3-04-FJB01,Lighting Cable,B,Tag No shall be installed.,PL-09152
